dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
10,0.8405851111556855,Lactobacillus_crispatus_1,10,0,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,0,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,0,3
15,0.832163497025845,Lactobacillus_crispatus_4,10,0,4
2,0.5543876219627708,Lactobacillus_crispatus_5,10,0,5
13,0.8724524352608115,Lactobacillus_crispatus_6,10,0,6
14,0.8615226336749823,Lactobacillus_crispatus_8,10,0,7
8,0.5393181463996819,Lactobacillus_iners_1,10,0,8
4,0.6423276083559297,Lactobacillus_iners_2,10,0,9
6,0.6437070109366928,Lactobacillus_iners_4,10,0,10
12,0.732481416653051,Lactobacillus_iners_5,10,0,11
9,0.6937091744137587,Lactobacillus_iners_6,10,0,12
5,0.3834599655729295,UBA629_sp005465875_1,10,0,13
3,0.2995183160310313,Gardnerella_vaginalis_2,10,0,14
1,0.2454554787606375,MultiGenera,10,0,15
10,0.8405851111556855,Lactobacillus_crispatus_1,10,1,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,1,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,1,3
15,0.832163497025845,Lactobacillus_crispatus_4,10,1,4
17,0.8019165833754756,Lactobacillus_crispatus_5,10,1,5
13,0.8724524352608115,Lactobacillus_crispatus_6,10,1,6
16,0.7851632977693439,Lactobacillus_crispatus_7,10,1,7
14,0.8615226336749823,Lactobacillus_crispatus_8,10,1,8
8,0.5393181463996819,Lactobacillus_iners_1,10,1,9
4,0.6423276083559297,Lactobacillus_iners_2,10,1,10
6,0.6437070109366928,Lactobacillus_iners_4,10,1,11
12,0.732481416653051,Lactobacillus_iners_5,10,1,12
9,0.6937091744137587,Lactobacillus_iners_6,10,1,13
2,0.5072308267439688,Lactobacillus_iners_7,10,1,14
5,0.3834599655729295,UBA629_sp005465875_1,10,1,15
3,0.2995183160310313,Gardnerella_vaginalis_2,10,1,16
1,0.2454554787606375,MultiGenera,10,1,17
10,0.8405851111556855,Lactobacillus_crispatus_1,10,2,1
11,0.8117584386405232,Lactobacillus_crispatus_2,10,2,2
7,0.8643502635506987,Lactobacillus_crispatus_3,10,2,3
17,0.832163497025845,Lactobacillus_crispatus_4,10,2,4
19,0.8019165833754756,Lactobacillus_crispatus_5,10,2,5
14,0.8724524352608115,Lactobacillus_crispatus_6,10,2,6
18,0.7851632977693439,Lactobacillus_crispatus_7,10,2,7
16,0.8615226336749823,Lactobacillus_crispatus_8,10,2,8
8,0.5393181463996819,Lactobacillus_iners_1,10,2,9
4,0.6423276083559297,Lactobacillus_iners_2,10,2,10
6,0.6437070109366928,Lactobacillus_iners_4,10,2,11
12,0.732481416653051,Lactobacillus_iners_5,10,2,12
9,0.6937091744137587,Lactobacillus_iners_6,10,2,13
20,0.7592623851065965,Lactobacillus_iners_7,10,2,14
5,0.3834599655729295,UBA629_sp005465875_1,10,2,15
15,0.4658780758653562,Gardnerella_vaginalis_2,10,2,16
13,0.2719429812326088,Gardnerella_swidsinkii_1,10,2,17
3,0.26770508568279994,Gardnerella_swidsinkii_2,10,2,18
2,0.48895663520105925,Lactobacillus_paragasseri,10,2,19
1,0.2454554787606375,MultiGenera,10,2,20
11,0.8405851111556855,Lactobacillus_crispatus_1,10,3,1
12,0.8117584386405232,Lactobacillus_crispatus_2,10,3,2
8,0.8643502635506987,Lactobacillus_crispatus_3,10,3,3
19,0.832163497025845,Lactobacillus_crispatus_4,10,3,4
23,0.8019165833754756,Lactobacillus_crispatus_5,10,3,5
16,0.8724524352608115,Lactobacillus_crispatus_6,10,3,6
22,0.7851632977693439,Lactobacillus_crispatus_7,10,3,7
18,0.8615226336749823,Lactobacillus_crispatus_8,10,3,8
30,0.6363056346136052,Lactobacillus_gasseri_1,10,3,9
27,0.6550759289434165,Lactobacillus_gasseri_2,10,3,10
9,0.5393181463996819,Lactobacillus_iners_1,10,3,11
3,0.6423276083559297,Lactobacillus_iners_2,10,3,12
7,0.6437070109366928,Lactobacillus_iners_4,10,3,13
13,0.732481416653051,Lactobacillus_iners_5,10,3,14
10,0.6937091744137587,Lactobacillus_iners_6,10,3,15
26,0.7592623851065965,Lactobacillus_iners_7,10,3,16
