dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
3,0.8866540198969887,Lactobacillus_crispatus_1,10,0,1
5,0.8380748221962542,Lactobacillus_crispatus_2,10,0,2
2,0.6940538719934466,Lactobacillus_iners_1,10,0,3
4,0.6644644578204585,Lactobacillus_iners_2,10,0,4
1,0.39453745669185686,MultiGenera,10,0,5
4,0.8866540198969887,Lactobacillus_crispatus_1,10,1,1
6,0.8380748221962542,Lactobacillus_crispatus_2,10,1,2
3,0.5797395234126592,Lactobacillus_crispatus_4,10,1,3
7,0.8828265723617716,Lactobacillus_crispatus_5,10,1,4
2,0.6940538719934466,Lactobacillus_iners_1,10,1,5
5,0.6644644578204585,Lactobacillus_iners_2,10,1,6
1,0.2972921594390774,MultiGenera,10,1,7
5,0.8866540198969887,Lactobacillus_crispatus_1,10,2,1
7,0.8380748221962542,Lactobacillus_crispatus_2,10,2,2
3,0.5445626951339257,Lactobacillus_crispatus_3,10,2,3
10,0.8563573094226997,Lactobacillus_crispatus_4,10,2,4
9,0.8828265723617716,Lactobacillus_crispatus_5,10,2,5
2,0.6940538719934466,Lactobacillus_iners_1,10,2,6
6,0.6644644578204585,Lactobacillus_iners_2,10,2,7
8,0.39437903000638175,UBA629_sp005465875_1,10,2,8
4,0.34984922568526383,Gardnerella_vaginalis_1,10,2,9
1,0.25648430190787763,MultiGenera,10,2,10
4,0.8866540198969887,Lactobacillus_crispatus_1,10,3,1
7,0.8380748221962542,Lactobacillus_crispatus_2,10,3,2
13,0.7963402667037426,Lactobacillus_crispatus_3,10,3,3
12,0.8563573094226997,Lactobacillus_crispatus_4,10,3,4
10,0.8828265723617716,Lactobacillus_crispatus_5,10,3,5
2,0.6940538719934466,Lactobacillus_iners_1,10,3,6
6,0.6644644578204585,Lactobacillus_iners_2,10,3,7
14,0.7309264909778329,Lactobacillus_jensenii_1,10,3,8
8,0.39437903000638175,UBA629_sp005465875_1,10,3,9
9,0.364629754477797,UBA629_sp005465875_2,10,3,10
11,0.5306104112937444,Gardnerella_vaginalis_1,10,3,11
5,0.3148401423065462,Gardnerella_swidsinkii_1,10,3,12
3,0.4923748517774686,Lactobacillus_paragasseri,10,3,13
1,0.2371869720812749,MultiGenera,10,3,14
2,0.8866540198969887,Lactobacillus_crispatus_1,10,4,1
