,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Aerococcus_christensenii.1,1,199,1497,69,1246,1456,1497,1540,1663
Aerococcus_christensenii.2,2,177,1378,93,1131,1318,1384,1441,1616
Aerococcus_christensenii.3,3,130,1614,79,1405,1560,1610,1670,1850
Aerococcus_christensenii.4,4,122,1621,71,1441,1574,1622,1654,1839
Aerococcus_christensenii.5,5,69,1488,82,1229,1450,1497,1548,1618
Aerococcus_christensenii.6,6,52,1419,73,1237,1366,1422,1465,1599
Aerococcus_christensenii.7,7,30,1564,122,1294,1495,1588,1654,1776
Alloscardovia_omnicolens.1,1,12,1420,41,1343,1404,1432,1443,1470
Alloscardovia_omnicolens.2,2,13,1431,41,1324,1431,1441,1455,1472
Anaerococcus,1,109,1538,436,847,1201,1474,1687,2771
Anaerococcus_mediterraneensis.1,1,14,2586,793,1591,2031,2462,2962,4368
Anaerococcus_mediterraneensis.2,2,28,2486,787,1655,1960,2214,2800,4943
Anaerococcus_prevotii,1,25,1963,352,1491,1687,1864,2129,2607
Arcanobacterium_sp000758825.1,1,56,1081,16,1047,1068,1082,1093,1106
Arcanobacterium_sp000758825.2,2,46,1095,24,1009,1082,1104,1111,1129
Arcanobacterium_sp000758825.3,3,32,1031,31,961,1017,1041,1052,1080
Arcanobacterium_sp000758825.4,4,24,1006,36,927,993,1010,1031,1058
Arcanobacterium_sp000758825.5,5,20,1113,23,1057,1104,1115,1126,1148
Arcanobacterium_sp000758825.6,6,13,1090,25,1055,1071,1089,1110,1133
Arcanobacterium_sp000758825.7,7,11,1137,14,1102,1131,1141,1148,1149
Arcanobacterium_sp000758825.8,8,11,1077,38,1019,1045,1090,1106,1127
Arcanobacterium_sp000758825.9,9,11,1093,20,1061,1074,1098,1105,1121
Bacteroides,1,20,1588,136,1271,1512,1592,1687,1829
Berryella_sp001552935.1,1,647,1674,209,1153,1530,1665,1802,2451
Berryella_sp001552935.2,2,244,2097,361,1180,1816,2110,2402,3093
Bifidobacterium_bifidum,1,40,1648,112,1419,1561,1666,1728,1825
Bifidobacterium_breve.1,1,34,1952,182,1424,1835,1940,2064,2414
