,mgCST
323752_MG,mgCST 21
323756_MG,mgCST 20
323757_MG,mgCST 20
323758_MG,mgCST 20
323760_MG,mgCST 20
323761_MG,mgCST 20
323762_MG,mgCST 20
323763_MG,mgCST 20
323766_MG,mgCST 20
323767_MG,mgCST 20
323769_MG,mgCST 20
323770_MG,mgCST 20
323773_MG,mgCST 14
323774_MG,mgCST 20
323775_MG,mgCST 20
323781_MG,mgCST 22
323783_MG,mgCST 20
323784_MG,mgCST 20
323785_MG,mgCST 24
323789_MG,mgCST 20
323790_MG,mgCST 20
323791_MG,mgCST 20
323793_MG,mgCST 20
323795_MG,mgCST 20
323796_MG,mgCST 20
323805_MG,mgCST 20
323806_MG,mgCST 20
323810_MG,mgCST 20
323812_MG,mgCST 22
323813_MG,mgCST 14
323816_MG,mgCST 20
323819_MG,mgCST 20
323823_MG,mgCST 20
323824_MG,mgCST 20
323825_MG,mgCST 22
323829_MG,mgCST 20
323830_MG,mgCST 19
323840_MG,mgCST 20
323843_MG,mgCST 20
323853_MG,mgCST 20
323854_MG,mgCST 22
323858_MG,mgCST 20
323864_MG,mgCST 20
323865_MG,mgCST 19
323873_MG,mgCST 20
323875_MG,mgCST 14
323876_MG,mgCST 20
323877_MG,mgCST 20
323878_MG,mgCST 20
323880_MG,mgCST 23
323881_MG,mgCST 20
323884_MG,mgCST 20
323886_MG,mgCST 20
323887_MG,mgCST 14
323888_MG,mgCST 20
323890_MG,mgCST 20
323891_MG,mgCST 20
323892_MG,mgCST 20
323893_MG,mgCST 22
323894_MG,mgCST 20
323896_MG,mgCST 22
323897_MG,mgCST 20
323898_MG,mgCST 20
323900_MG,mgCST 22
342278_MG,mgCST 20
342282_MG,mgCST 14
342290_MG,mgCST 20
342291_MG,mgCST 22
342294_MG,mgCST 14
342295_MG,mgCST 20
342298_MG,mgCST 22
342300_MG,mgCST 20
342302_MG,mgCST 20
342305_MG,mgCST 14
342306_MG,mgCST 20
342310_MG,mgCST 22
342312_MG,mgCST 20
342315_MG,mgCST 22
342317_MG,mgCST 20
342324_MG,mgCST 20
342326_MG,mgCST 20
342328_MG,mgCST 20
342330_MG,mgCST 20
342333_MG,mgCST 20
342334_MG,mgCST 20
342341_MG,mgCST 22
342343_MG,mgCST 20
342345_MG,mgCST 22
342350_MG,mgCST 19
342351_MG,mgCST 20
342355_MG,mgCST 20
342359_MG,mgCST 24
342363_MG,mgCST 22
342367_MG,mgCST 20
342368_MG,mgCST 20
342377_MG,mgCST 20
342381_MG,mgCST 19
342385_MG,mgCST 22
342386_MG,mgCST 20
342387_MG,mgCST 19
342391_MG,mgCST 20
342395_MG,mgCST 22
342396_MG,mgCST 20
342404_MG,mgCST 20
342408_MG,mgCST 23
342414_MG,mgCST 14
342416_MG,mgCST 20
342419_MG,mgCST 20
342420_MG,mgCST 20
342424_MG,mgCST 20
342427_MG,mgCST 20
342429_MG,mgCST 22
342433_MG,mgCST 14
342434_MG,mgCST 20
342438_MG,mgCST 22
342449_MG,mgCST 19
342450_MG,mgCST 20
342461_MG,mgCST 20
342464_MG,mgCST 20
342466_MG,mgCST 20
342469_MG,mgCST 20
342470_MG,mgCST 22
342474_MG,mgCST 22
342476_MG,mgCST 20
342480_MG,mgCST 20
342482_MG,mgCST 20
342484_MG,mgCST 20
342487_MG,mgCST 20
342489_MG,mgCST 20
342491_MG,mgCST 22
342495_MG,mgCST 22
342496_MG,mgCST 20
342498_MG,mgCST 20
342501_MG,mgCST 20
342502_MG,mgCST 20
342504_MG,mgCST 20
342506_MG,mgCST 20
342509_MG,mgCST 22
342511_MG,mgCST 14
342514_MG,mgCST 19
342520_MG,mgCST 14
342521_MG,mgCST 20
342522_MG,mgCST 14
342526_MG,mgCST 20
342528_MG,mgCST 22
342533_MG,mgCST 20
342536_MG,mgCST 20
342538_MG,mgCST 22
342546_MG,mgCST 20
342548_MG,mgCST 22
342551_MG,mgCST 20
342552_MG,mgCST 21
342556_MG,mgCST 20
342560_MG,mgCST 20
342561_MG,mgCST 20
342564_MG,mgCST 20
342566_MG,mgCST 26
342567_MG,mgCST 20
342571_MG,mgCST 20
342574_MG,mgCST 20
342578_MG,mgCST 20
342587_MG,mgCST 22
342591_MG,mgCST 22
342592_MG,mgCST 22
342594_MG,mgCST 20
342600_MG,mgCST 20
342602_MG,mgCST 19
342606_MG,mgCST 19
342609_MG,mgCST 20
342610_MG,mgCST 20
342619_MG,mgCST 22
342621_MG,mgCST 20
342627_MG,mgCST 22
342630_MG,mgCST 20
342632_MG,mgCST 19
342636_MG,mgCST 20
342637_MG,mgCST 19
342639_MG,mgCST 22
342642_MG,mgCST 20
342646_MG,mgCST 20
342647_MG,mgCST 20
342649_MG,mgCST 22
342652_MG,mgCST 22
342655_MG,mgCST 26
342657_MG,mgCST 20
342660_MG,mgCST 20
342662_MG,mgCST 14
342663_MG,mgCST 24
342666_MG,mgCST 22
342668_MG,mgCST 20
342671_MG,mgCST 20
342674_MG,mgCST 20
342681_MG,mgCST 24
342682_MG,mgCST 14
342689_MG,mgCST 20
342693_MG,mgCST 20
342694_MG,mgCST 22
342697_MG,mgCST 20
342699_MG,mgCST 22
342703_MG,mgCST 24
342704_MG,mgCST 24
342707_MG,mgCST 23
342709_MG,mgCST 20
342711_MG,mgCST 20
342714_MG,mgCST 23
342717_MG,mgCST 22
342718_MG,mgCST 22
342722_MG,mgCST 20
342724_MG,mgCST 20
342727_MG,mgCST 20
342730_MG,mgCST 14
342737_MG,mgCST 22
342738_MG,mgCST 24
342742_MG,mgCST 20
342746_MG,mgCST 23
342747_MG,mgCST 22
342751_MG,mgCST 20
342752_MG,mgCST 20
342756_MG,mgCST 20
342757_MG,mgCST 20
342758_MG,mgCST 19
342762_MG,mgCST 20
342764_MG,mgCST 20
342767_MG,mgCST 20
342769_MG,mgCST 20
342772_MG,mgCST 22
342774_MG,mgCST 20
342777_MG,mgCST 22
342781_MG,mgCST 14
342784_MG,mgCST 14
342785_MG,mgCST 20
342789_MG,mgCST 20
342790_MG,mgCST 20
342794_MG,mgCST 20
342800_MG,mgCST 20
342802_MG,mgCST 20
342807_MG,mgCST 19
342810_MG,mgCST 20
342813_MG,mgCST 20
342815_MG,mgCST 20
342816_MG,mgCST 19
342820_MG,mgCST 20
342821_MG,mgCST 20
342825_MG,mgCST 22
342826_MG,mgCST 22
342830_MG,mgCST 22
342834_MG,mgCST 20
342835_MG,mgCST 20
342839_MG,mgCST 20
342840_MG,mgCST 20
342843_MG,mgCST 20
342844_MG,mgCST 22
342848_MG,mgCST 20
342850_MG,mgCST 14
342858_MG,mgCST 20
342860_MG,mgCST 20
342863_MG,mgCST 20
342864_MG,mgCST 20
342868_MG,mgCST 22
342872_MG,mgCST 26
342873_MG,mgCST 20
342875_MG,mgCST 20
342880_MG,mgCST 14
342881_MG,mgCST 22
342884_MG,mgCST 20
342886_MG,mgCST 20
342887_MG,mgCST 20
342891_MG,mgCST 20
342895_MG,mgCST 20
342896_MG,mgCST 20
342898_MG,mgCST 20
342901_MG,mgCST 20
342902_MG,mgCST 22
342906_MG,mgCST 20
342909_MG,mgCST 20
342911_MG,mgCST 20
342913_MG,mgCST 22
342916_MG,mgCST 20
342919_MG,mgCST 20
342920_MG,mgCST 26
342922_MG,mgCST 20
342925_MG,mgCST 20
342926_MG,mgCST 22
342930_MG,mgCST 20
342931_MG,mgCST 22
342933_MG,mgCST 20
342934_MG,mgCST 20
342938_MG,mgCST 20
342941_MG,mgCST 20
342942_MG,mgCST 20
342943_MG,mgCST 20
342947_MG,mgCST 20
342948_MG,mgCST 20
342955_MG,mgCST 20
342958_MG,mgCST 22
342960_MG,mgCST 22
342964_MG,mgCST 22
342969_MG,mgCST 20
342972_MG,mgCST 20
342978_MG,mgCST 22
342982_MG,mgCST 20
342986_MG,mgCST 20
342987_MG,mgCST 20
342991_MG,mgCST 24
342994_MG,mgCST 22
342997_MG,mgCST 20
343000_MG,mgCST 22
343002_MG,mgCST 20
343003_MG,mgCST 22
343007_MG,mgCST 20
343010_MG,mgCST 14
343018_MG,mgCST 20
343019_MG,mgCST 20
343021_MG,mgCST 22
343024_MG,mgCST 20
343028_MG,mgCST 20
343029_MG,mgCST 14
343031_MG,mgCST 19
343033_MG,mgCST 20
343034_MG,mgCST 20
343038_MG,mgCST 20
343042_MG,mgCST 20
343043_MG,mgCST 20
343046_MG,mgCST 20
343048_MG,mgCST 22
343049_MG,mgCST 20
343053_MG,mgCST 19
343057_MG,mgCST 22
343058_MG,mgCST 20
343060_MG,mgCST 22
343063_MG,mgCST 22
343067_MG,mgCST 20
343068_MG,mgCST 20
343071_MG,mgCST 20
343075_MG,mgCST 24
343076_MG,mgCST 20
343078_MG,mgCST 14
343081_MG,mgCST 20
343083_MG,mgCST 20
343086_MG,mgCST 20
343089_MG,mgCST 20
343094_MG,mgCST 20
343098_MG,mgCST 14
343099_MG,mgCST 24
343101_MG,mgCST 22
343104_MG,mgCST 20
343107_MG,mgCST 14
343109_MG,mgCST 20
343111_MG,mgCST 20
343114_MG,mgCST 20
343117_MG,mgCST 20
343119_MG,mgCST 21
343123_MG,mgCST 14
343124_MG,mgCST 20
343128_MG,mgCST 22
343129_MG,mgCST 20
343131_MG,mgCST 20
343134_MG,mgCST 20
343138_MG,mgCST 20
343139_MG,mgCST 22
343140_MG,mgCST 20
343145_MG,mgCST 20
343147_MG,mgCST 22
343150_MG,mgCST 20
343153_MG,mgCST 20
343155_MG,mgCST 14
343156_MG,mgCST 22
343160_MG,mgCST 22
343163_MG,mgCST 20
343165_MG,mgCST 20
343167_MG,mgCST 20
343173_MG,mgCST 22
343177_MG,mgCST 20
343178_MG,mgCST 19
343180_MG,mgCST 20
343183_MG,mgCST 20
343185_MG,mgCST 20
343188_MG,mgCST 26
343192_MG,mgCST 20
343193_MG,mgCST 20
343195_MG,mgCST 24
343198_MG,mgCST 20
343200_MG,mgCST 20
343203_MG,mgCST 14
343205_MG,mgCST 20
343208_MG,mgCST 19
343209_MG,mgCST 14
343213_MG,mgCST 20
343215_MG,mgCST 20
343218_MG,mgCST 20
343222_MG,mgCST 20
343223_MG,mgCST 20
343225_MG,mgCST 22
343233_MG,mgCST 14
343234_MG,mgCST 20
343238_MG,mgCST 20
343239_MG,mgCST 14
343243_MG,mgCST 22
343246_MG,mgCST 23
343255_MG,mgCST 20
343256_MG,mgCST 20
343258_MG,mgCST 21
343261_MG,mgCST 20
343264_MG,mgCST 23
343266_MG,mgCST 20
343269_MG,mgCST 20
343271_MG,mgCST 20
343275_MG,mgCST 20
343276_MG,mgCST 20
343278_MG,mgCST 14
343281_MG,mgCST 20
343283_MG,mgCST 20
343286_MG,mgCST 20
343287_MG,mgCST 20
343291_MG,mgCST 20
343292_MG,mgCST 20
343301_MG,mgCST 19
343302_MG,mgCST 20
343306_MG,mgCST 20
343309_MG,mgCST 20
343311_MG,mgCST 22
343314_MG,mgCST 20
343318_MG,mgCST 14
343319_MG,mgCST 20
343322_MG,mgCST 20
343324_MG,mgCST 20
343328_MG,mgCST 20
343332_MG,mgCST 23
343335_MG,mgCST 20
343337_MG,mgCST 20
343339_MG,mgCST 19
343342_MG,mgCST 20
343345_MG,mgCST 19
343347_MG,mgCST 20
343349_MG,mgCST 20
343352_MG,mgCST 14
343356_MG,mgCST 20
343357_MG,mgCST 19
343360_MG,mgCST 20
343363_MG,mgCST 19
343365_MG,mgCST 20
343368_MG,mgCST 22
343370_MG,mgCST 22
343373_MG,mgCST 24
343377_MG,mgCST 20
343378_MG,mgCST 20
343381_MG,mgCST 20
343388_MG,mgCST 14
343389_MG,mgCST 19
343393_MG,mgCST 20
343396_MG,mgCST 20
343398_MG,mgCST 14
343401_MG,mgCST 22
343402_MG,mgCST 20
343406_MG,mgCST 14
343409_MG,mgCST 22
343411_MG,mgCST 20
343415_MG,mgCST 20
343416_MG,mgCST 20
343418_MG,mgCST 20
343422_MG,mgCST 20
343424_MG,mgCST 20
343425_MG,mgCST 19
343432_MG,mgCST 19
343434_MG,mgCST 20
343435_MG,mgCST 20
343439_MG,mgCST 22
343442_MG,mgCST 22
343444_MG,mgCST 19
343446_MG,mgCST 20
343449_MG,mgCST 22
343452_MG,mgCST 23
343454_MG,mgCST 22
343457_MG,mgCST 20
343459_MG,mgCST 20
343463_MG,mgCST 19
343464_MG,mgCST 20
343466_MG,mgCST 24
343469_MG,mgCST 19
343471_MG,mgCST 20
343474_MG,mgCST 20
343477_MG,mgCST 20
343479_MG,mgCST 20
343483_MG,mgCST 22
343489_MG,mgCST 20
343493_MG,mgCST 19
343494_MG,mgCST 20
343498_MG,mgCST 20
343499_MG,mgCST 20
343500_MG,mgCST 20
343504_MG,mgCST 20
343506_MG,mgCST 20
343509_MG,mgCST 20
343511_MG,mgCST 23
343514_MG,mgCST 20
343517_MG,mgCST 20
343520_MG,mgCST 23
343522_MG,mgCST 20
343524_MG,mgCST 20
343532_MG,mgCST 20
343534_MG,mgCST 19
343540_MG,mgCST 22
343543_MG,mgCST 20
343545_MG,mgCST 24
343547_MG,mgCST 20
343550_MG,mgCST 22
343554_MG,mgCST 21
343555_MG,mgCST 14
343557_MG,mgCST 20
343560_MG,mgCST 22
343563_MG,mgCST 21
343570_MG,mgCST 20
343574_MG,mgCST 24
343576_MG,mgCST 20
343578_MG,mgCST 20
343581_MG,mgCST 14
343583_MG,mgCST 20
343586_MG,mgCST 20
343588_MG,mgCST 22
343592_MG,mgCST 14
343593_MG,mgCST 20
343594_MG,mgCST 14
343598_MG,mgCST 20
343599_MG,mgCST 20
343603_MG,mgCST 20
343606_MG,mgCST 14
343608_MG,mgCST 22
343612_MG,mgCST 20
343613_MG,mgCST 14
343616_MG,mgCST 20
343618_MG,mgCST 19
343619_MG,mgCST 20
343623_MG,mgCST 19
343625_MG,mgCST 19
343628_MG,mgCST 24
343629_MG,mgCST 20
343633_MG,mgCST 22
343636_MG,mgCST 22
343638_MG,mgCST 22
343640_MG,mgCST 26
343643_MG,mgCST 20
343647_MG,mgCST 20
343648_MG,mgCST 20
343651_MG,mgCST 19
343653_MG,mgCST 20
343654_MG,mgCST 13
343661_MG,mgCST 19
343664_MG,mgCST 20
343666_MG,mgCST 22
343669_MG,mgCST 24
343671_MG,mgCST 23
343672_MG,mgCST 19
343676_MG,mgCST 22
343677_MG,mgCST 20
343681_MG,mgCST 20
343683_MG,mgCST 14
343686_MG,mgCST 14
343688_MG,mgCST 20
343691_MG,mgCST 20
343694_MG,mgCST 20
343695_MG,mgCST 20
343699_MG,mgCST 20
343701_MG,mgCST 20
343704_MG,mgCST 20
343707_MG,mgCST 20
343709_MG,mgCST 23
343712_MG,mgCST 20
343714_MG,mgCST 14
343716_MG,mgCST 23
343719_MG,mgCST 20
343720_MG,mgCST 20
343724_MG,mgCST 20
343726_MG,mgCST 20
343729_MG,mgCST 22
343731_MG,mgCST 14
343734_MG,mgCST 20
343735_MG,mgCST 14
343744_MG,mgCST 19
343748_MG,mgCST 20
343749_MG,mgCST 20
343750_MG,mgCST 20
343754_MG,mgCST 20
343755_MG,mgCST 20
343759_MG,mgCST 20
343762_MG,mgCST 20
