Subspecies,Color
Aerococcus_christensenii.1,#616161
Aerococcus_christensenii.2,#777777
Aerococcus_christensenii.3,#8E8E8E
Aerococcus_christensenii.4,#A4A4A4
Aerococcus_christensenii.5,#BBBBBB
Aerococcus_christensenii.6,#D1D1D1
Aerococcus_christensenii.7,#E8E8E8
Alloscardovia_omnicolens.1,#8c8c8c
Alloscardovia_omnicolens.2,#8c8c8c
Anaerococcus,#8c8c8c
Anaerococcus_mediterraneensis.1,#8c8c8c
Anaerococcus_mediterraneensis.2,#8c8c8c
Anaerococcus_prevotii,#8c8c8c
Arcanobacterium_sp000758825.1,#8c8c8c
Arcanobacterium_sp000758825.2,#8c8c8c
Arcanobacterium_sp000758825.3,#8c8c8c
Arcanobacterium_sp000758825.4,#8c8c8c
Arcanobacterium_sp000758825.5,#8c8c8c
Arcanobacterium_sp000758825.6,#8c8c8c
Arcanobacterium_sp000758825.7,#8c8c8c
Arcanobacterium_sp000758825.8,#8c8c8c
Arcanobacterium_sp000758825.9,#8c8c8c
Bacteroides,#8c8c8c
Berryella_sp001552935.1,#FF00D9
Berryella_sp001552935.2,#FF7FEC
Bifidobacterium_bifidum,#8c8c8c
Bifidobacterium_breve.1,#C1FFC1
Bifidobacterium_breve.2,#D5FFD5
Bifidobacterium_breve.3,#EAFFEA
CAJPTP01,#8c8c8c
Campylobacter,#8c8c8c
Campylobacter_ureolyticus.1,#8c8c8c
Campylobacter_ureolyticus.2,#8c8c8c
Candida_albicans.1,#8c8c8c
Candida_albicans.2,#8c8c8c
Chlamydia_trachomatis,#8c8c8c
Corynebacterium,#8c8c8c
Corynebacterium_amycolatum,#8c8c8c
Corynebacterium_aurimucosum,#8c8c8c
Corynebacterium_riegelii.1,#8c8c8c
Corynebacterium_riegelii.2,#8c8c8c
Corynebacterium_sp001767255,#8c8c8c
Corynebacterium_spNov1.1,#8c8c8c
Corynebacterium_spNov1.2,#8c8c8c
Corynebacterium_tuscaniense.1,#8c8c8c
Corynebacterium_tuscaniense.2,#8c8c8c
Cutibacterium_acnes.1,#4C693A
Cutibacterium_acnes.2,#788E6B
Cutibacterium_acnes.3,#A5B49C
Cutibacterium_acnes.4,#D2D9CD
Dialister_micraerophilus.1,#8c8c8c
Dialister_micraerophilus.2,#8c8c8c
Dialister_micraerophilus.3,#8c8c8c
Dialister_micraerophilus.4,#8c8c8c
Dialister_micraerophilus.5,#8c8c8c
Dialister_sp001553355.1,#045C47
Dialister_sp001553355.2,#428475
Dialister_sp001553355.3,#81ADA3
Dialister_sp001553355.4,#C0D6D1
Enterococcus_faecalis.1,#8c8c8c
Enterococcus_faecalis.2,#8c8c8c
Escherichia_coli.1,#8c8c8c
Escherichia_coli.2,#8c8c8c
Fannyhessea_massiliense.1,#8c8c8c
Fannyhessea_massiliense.2,#8c8c8c
Fannyhessea_massiliense.3,#8c8c8c
Fannyhessea_massiliense.4,#8c8c8c
Fannyhessea_spNov3.1,#8c8c8c
Fannyhessea_spNov3.2,#8c8c8c
Fannyhessea_spNov3.3,#8c8c8c
Fannyhessea_vaginae.1,#0000CD
Fannyhessea_vaginae.2,#3F3FD9
Fannyhessea_vaginae.3,#7F7FE6
Fannyhessea_vaginae.4,#BFBFF2
Fenollaria_massiliensis.1,#8c8c8c
Fenollaria_massiliensis.2,#8c8c8c
Finegoldia_magna.1,#8c8c8c
Finegoldia_magna.2,#8c8c8c
Finegoldia_magna.3,#8c8c8c
Fusobacterium_gonidiaformans,#8c8c8c
Gardnerella,#221886
Gardnerella_leopoldii.1,#2F268D
Gardnerella_leopoldii.2,#746EB3
Gardnerella_leopoldii.3,#B9B6D9
Gardnerella_piotii.1,#3D3495
Gardnerella_piotii.2,#6D66AF
Gardnerella_piotii.3,#9E99CA
Gardnerella_piotii.4,#CECCE4
Gardnerella_sp003585735.1,#4B439C
Gardnerella_sp003585735.2,#8781BD
Gardnerella_sp003585735.3,#C3C0DE
Gardnerella_sp003585845.1,#5951A4
Gardnerella_sp003585845.2,#7A73B6
Gardnerella_sp003585845.3,#9B96C8
Gardnerella_sp003585845.4,#BCB9DA
Gardnerella_sp003585845.5,#DDDCEC
Gardnerella_spNov2.1,#746EB3
Gardnerella_spNov2.2,#B9B6D9
Gardnerella_swidsinkii.1,#827DBA
Gardnerella_swidsinkii.2,#8A86BE
Gardnerella_swidsinkii.3,#938FC3
Gardnerella_swidsinkii.4,#9C98C8
Gardnerella_swidsinkii.5,#A5A2CD
Gardnerella_swidsinkii.6,#AEABD2
Gardnerella_swidsinkii.7,#B7B4D7
Gardnerella_swidsinkii.8,#C0BEDC
Gardnerella_swidsinkii.9,#C9C7E1
Gardnerella_swidsinkii.10,#D2D0E6
Gardnerella_swidsinkii.11,#DBD9EB
Gardnerella_swidsinkii.12,#E4E3F0
Gardnerella_swidsinkii.13,#EDECF5
Gardnerella_swidsinkii.14,#F6F5FA
Gardnerella_vaginalis.1,#908BC2
Gardnerella_vaginalis.2,#C7C5E0
Gardnerella_vaginalis_A.1,#9E99CA
Gardnerella_vaginalis_A.2,#B6B2D7
